index,cohorte_passage,gd_discipline,reussite_3_ans,passage_en_l2_2_ans,reussite_3_4_ans,reorientation_en_dut,redoublement_en_l1,effectif_neobacheliers_reussite,discipline_lib,effectif_neobacheliers_passage,sexe_lib,serie_bac,gd_discipline_lib,age_au_bac_lib,passage_en_l2_1_2_ans,discipline,sexe,mention_bac,age_au_bac,passage_en_l2_1_an,reorientation_en_dut_1_an,reorientation_en_dut_2_ans,sect_disciplinaire_lib,reussite_4_ans,serie_bac_lib,mention_bac_lib,sect_disciplinaire,cohorte_reussite
10,2014,DSA,,0.0,,0.0,0.0,,Administration économique et sociale,1.0,Homme,4,"Droit, gestion, économie, AES",En retard de plus d'un an,1.0,3,1,A,R2,1.0,0.0,0.0,Administration économique et sociale,,BAC STMG,Très bien,40,2012
11,2014,LLSH,4.0,1.0,9.0,0.0,1.0,19.0,Sciences humaines et sociales,11.0,Femme,1,"Lettres, langues et sciences humaines",En retard de plus d'un an,8.0,6,2,D,R2,7.0,0.0,0.0,Sciences de l'information et la communication,5.0,BAC L,Passable premier groupe,35,2012
12,2014,LLSH,0.0,0.0,0.0,0.0,0.0,3.0,"Lettres, sciences du langage, arts",3.0,Femme,5,"Lettres, langues et sciences humaines",En retard de plus d'un an,0.0,4,2,D,R2,0.0,0.0,0.0,"Sciences du langage, linguistique",0.0,BAC technologique hors STMG,Passable premier groupe,17,2012
13,2014,LLSH,5.0,0.0,6.0,0.0,0.0,6.0,Sciences humaines et sociales,3.0,Femme,3,"Lettres, langues et sciences humaines",A l'heure ou en avance,2.0,6,2,A,R0,2.0,0.0,0.0,Sciences de l'information et la communication,1.0,BAC S,Très bien,35,2012
14,2014,LLSH,1.0,,1.0,,,3.0,"Lettres, sciences du langage, arts",,Homme,6,"Lettres, langues et sciences humaines",Non pris en compte,,4,1,D,R4,,,,Langues et littératures anciennes,0.0,BAC professionnel,Passable premier groupe,18,2012
15,2014,LLSH,2.0,1.0,3.0,0.0,3.0,7.0,Sciences humaines et sociales,5.0,Femme,5,"Lettres, langues et sciences humaines",A l'heure ou en avance,1.0,6,2,D,R0,0.0,0.0,0.0,Sciences de l'information et la communication,1.0,BAC technologique hors STMG,Passable premier groupe,35,2012
16,2014,LLSH,3.0,3.0,5.0,1.0,11.0,35.0,Sciences humaines et sociales,22.0,Homme,6,"Lettres, langues et sciences humaines",Non pris en compte,5.0,6,1,D,R4,2.0,1.0,0.0,Sciences de l'information et la communication,2.0,BAC professionnel,Passable premier groupe,35,2012
17,2014,LLSH,1.0,0.0,1.0,0.0,0.0,2.0,"Lettres, sciences du langage, arts",2.0,Femme,5,"Lettres, langues et sciences humaines",En retard de plus d'un an,0.0,4,2,C,R2,0.0,0.0,0.0,Langues et littératures françaises,0.0,BAC technologique hors STMG,Assez bien,19,2012
18,2014,LLSH,0.0,0.0,0.0,0.0,1.0,5.0,"Lettres, sciences du langage, arts",3.0,Femme,5,"Lettres, langues et sciences humaines",En retard de plus d'un an,0.0,4,2,D,R2,0.0,0.0,0.0,Langues et littératures françaises,0.0,BAC technologique hors STMG,Passable premier groupe,19,2012
19,2014,LLSH,11.0,0.0,14.0,0.0,0.0,28.0,"Lettres, sciences du langage, arts",25.0,Homme,1,"Lettres, langues et sciences humaines",A l'heure ou en avance,25.0,4,1,A,R0,25.0,0.0,0.0,Arts,3.0,BAC L,Très bien,21,2012
20,2014,LLSH,74.0,18.0,97.0,3.0,30.0,170.0,Sciences humaines et sociales,160.0,Femme,2,"Lettres, langues et sciences humaines",A l'heure ou en avance,118.0,6,2,D,R0,100.0,3.0,0.0,Pluridisciplinaire sciences humaines et sociales,23.0,BAC ES,Passable premier groupe,66,2012
21,2014,SI,1.0,0.0,1.0,0.0,3.0,6.0,Pluridisciplinaire sciences,4.0,Homme,2,Sciences et sciences de l'ingénieur,En retard de plus d'un an,0.0,33,1,D,R2,0.0,0.0,0.0,Pluridisciplinaire sciences,0.0,BAC ES,Passable premier groupe,70,2012
22,2014,SI,0.0,1.0,0.0,0.0,5.0,3.0,Pluridisciplinaire sciences,11.0,Femme,4,Sciences et sciences de l'ingénieur,En retard d'un an,2.0,33,2,D,R1,1.0,0.0,0.0,Pluridisciplinaire sciences,0.0,BAC STMG,Passable premier groupe,70,2012
23,2014,SI,0.0,1.0,0.0,1.0,4.0,12.0,Pluridisciplinaire sciences,21.0,Femme,5,Sciences et sciences de l'ingénieur,En retard de plus d'un an,7.0,33,2,C,R2,6.0,1.0,0.0,Pluridisciplinaire sciences,0.0,BAC technologique hors STMG,Assez bien,70,2012
24,2014,STAPS,3.0,5.0,8.0,0.0,15.0,31.0,STAPS,25.0,Homme,1,STAPS,En retard d'un an,8.0,10,1,D,R1,3.0,0.0,0.0,STAPS,5.0,BAC L,Passable premier groupe,10,2012
25,2014,LLSH,0.0,,0.0,,,1.0,Sciences humaines et sociales,,Homme,6,"Lettres, langues et sciences humaines",Non pris en compte,,6,1,A,R4,,,,Pluridisciplinaire sciences humaines et sociales,0.0,BAC professionnel,Très bien,66,2012
26,2014,STAPS,371.0,83.0,450.0,21.0,123.0,626.0,STAPS,930.0,Homme,3,STAPS,A l'heure ou en avance,731.0,10,1,C,R0,648.0,16.0,5.0,STAPS,79.0,BAC S,Assez bien,10,2012
27,2014,STAPS,3.0,5.0,6.0,0.0,42.0,136.0,STAPS,106.0,Homme,4,STAPS,En retard d'un an,6.0,10,1,P,R1,1.0,0.0,0.0,STAPS,3.0,BAC STMG,Passable deuxième groupe,10,2012
28,2014,LLSH,0.0,0.0,0.0,0.0,2.0,6.0,"Pluridisciplinaire lettres, langues, sciences humaines",5.0,Homme,6,"Lettres, langues et sciences humaines",Non pris en compte,0.0,32,1,D,R4,0.0,0.0,0.0,"Pluridisciplinaire lettres, langues, sciences humaines",0.0,BAC professionnel,Passable premier groupe,67,2012
29,2014,DSA,0.0,0.0,0.0,0.0,1.0,1.0,Administration économique et sociale,4.0,Homme,4,"Droit, gestion, économie, AES",En retard de plus d'un an,1.0,3,1,B,R2,1.0,0.0,0.0,Administration économique et sociale,0.0,BAC STMG,Bien,40,2012
30,2014,SI,,0.0,,0.0,1.0,,"Sciences de la vie, de la terre et de l'univers",1.0,Homme,2,Sciences et sciences de l'ingénieur,En retard de plus d'un an,0.0,9,1,D,R2,0.0,0.0,0.0,Sciences de l'univers,,BAC ES,Passable premier groupe,5,2012
31,2014,LLSH,1.0,1.0,1.0,0.0,1.0,2.0,"Lettres, sciences du langage, arts",1.0,Homme,3,"Lettres, langues et sciences humaines",En retard d'un an,1.0,4,1,P,R1,0.0,0.0,0.0,"Sciences du langage, linguistique",0.0,BAC S,Passable deuxième groupe,17,2012
32,2014,SI,0.0,,0.0,,,1.0,"Sciences de la vie, de la terre et de l'univers",,Femme,4,Sciences et sciences de l'ingénieur,En retard d'un an,,9,2,P,R1,,,,Sciences de l'univers,0.0,BAC STMG,Passable deuxième groupe,5,2012
33,2014,LLSH,0.0,,0.0,,,1.0,"Lettres, sciences du langage, arts",,Homme,1,"Lettres, langues et sciences humaines",A l'heure ou en avance,,4,1,P,R0,,,,Langues et littératures anciennes,0.0,BAC L,Passable deuxième groupe,18,2012
34,2014,SI,,1.0,,0.0,1.0,,"Sciences de la vie, de la terre et de l'univers",2.0,Femme,1,Sciences et sciences de l'ingénieur,A l'heure ou en avance,1.0,9,2,B,R0,0.0,0.0,0.0,Sciences de la vie,,BAC L,Bien,6,2012
35,2014,DSA,1.0,,1.0,,,3.0,"Sciences économiques, gestion",,Homme,1,"Droit, gestion, économie, AES",A l'heure ou en avance,,2,1,Q,R0,,,,Pluridisciplinaire sciences économiques et gestion,0.0,BAC L,Inconnue,62,2012
36,2014,SI,,1.0,,0.0,1.0,,"Sciences de la vie, de la terre et de l'univers",1.0,Femme,2,Sciences et sciences de l'ingénieur,A l'heure ou en avance,1.0,9,2,Q,R0,0.0,0.0,0.0,Sciences de la vie,,BAC ES,Inconnue,6,2012
37,2014,DSA,1.0,1.0,1.0,0.0,2.0,2.0,"Sciences économiques, gestion",3.0,Femme,1,"Droit, gestion, économie, AES",En retard d'un an,1.0,2,2,C,R1,0.0,0.0,0.0,Pluridisciplinaire sciences économiques et gestion,0.0,BAC L,Assez bien,62,2012
38,2014,DSA,4.0,3.0,7.0,0.0,9.0,32.0,"Sciences économiques, gestion",27.0,Homme,2,"Droit, gestion, économie, AES",En retard d'un an,16.0,2,1,Q,R1,13.0,0.0,0.0,Pluridisciplinaire sciences économiques et gestion,3.0,BAC ES,Inconnue,62,2012
39,2014,DSA,1.0,0.0,4.0,0.0,8.0,22.0,"Sciences économiques, gestion",23.0,Femme,2,"Droit, gestion, économie, AES",En retard de plus d'un an,6.0,2,2,P,R2,6.0,0.0,0.0,Pluridisciplinaire sciences économiques et gestion,3.0,BAC ES,Passable deuxième groupe,62,2012
40,2014,DSA,15.0,0.0,16.0,0.0,0.0,20.0,"Sciences économiques, gestion",23.0,Homme,3,"Droit, gestion, économie, AES",A l'heure ou en avance,21.0,2,1,A,R0,21.0,0.0,0.0,Pluridisciplinaire sciences économiques et gestion,1.0,BAC S,Très bien,62,2012
41,2014,DSA,16.0,0.0,19.0,0.0,1.0,22.0,"Sciences économiques, gestion",13.0,Femme,3,"Droit, gestion, économie, AES",En retard d'un an,12.0,2,2,C,R1,12.0,0.0,0.0,Pluridisciplinaire sciences économiques et gestion,3.0,BAC S,Assez bien,62,2012
42,2014,SI,0.0,0.0,0.0,0.0,2.0,14.0,"Sciences de la vie, de la terre et de l'univers",6.0,Femme,6,Sciences et sciences de l'ingénieur,Non pris en compte,0.0,9,2,P,R4,0.0,0.0,0.0,Sciences de la vie,0.0,BAC professionnel,Passable deuxième groupe,6,2012
43,2014,DSA,0.0,2.0,1.0,2.0,26.0,79.0,"Sciences économiques, gestion",80.0,Homme,4,"Droit, gestion, économie, AES",En retard d'un an,2.0,2,1,P,R1,0.0,1.0,1.0,Pluridisciplinaire sciences économiques et gestion,1.0,BAC STMG,Passable deuxième groupe,62,2012
44,2014,SI,13.0,1.0,17.0,0.0,1.0,29.0,"Sciences de la vie, de la terre et de l'univers",8.0,Femme,3,Sciences et sciences de l'ingénieur,A l'heure ou en avance,5.0,9,2,Q,R0,4.0,0.0,0.0,"Pluridisciplinaire sciences de la vie, de la santé, de la terre et de l'univers",4.0,BAC S,Inconnue,69,2012
45,2014,DSA,0.0,0.0,0.0,0.0,0.0,2.0,Administration économique et sociale,1.0,Homme,2,"Droit, gestion, économie, AES",En retard d'un an,1.0,3,1,A,R1,1.0,0.0,0.0,Administration économique et sociale,0.0,BAC ES,Très bien,40,2012
46,2014,DSA,7.0,1.0,9.0,0.0,1.0,11.0,"Droit, sciences politiques",21.0,Femme,2,"Droit, gestion, économie, AES",En retard d'un an,20.0,1,2,A,R1,19.0,0.0,0.0,Sciences juridiques,2.0,BAC ES,Très bien,36,2012
47,2014,SI,,0.0,,0.0,1.0,,Sciences fondamentales et applications,2.0,Homme,4,Sciences et sciences de l'ingénieur,En retard d'un an,0.0,15,1,C,R1,0.0,0.0,0.0,Pluridisciplinaire sciences fondamentales et applications,,BAC STMG,Assez bien,68,2012
48,2014,DSA,1.0,0.0,1.0,0.0,1.0,1.0,"Droit, sciences politiques",1.0,Homme,4,"Droit, gestion, économie, AES",En retard de plus d'un an,0.0,1,1,A,R2,0.0,0.0,0.0,Sciences juridiques,0.0,BAC STMG,Très bien,36,2012
49,2014,SI,2.0,4.0,3.0,6.0,11.0,10.0,Sciences fondamentales et applications,42.0,Homme,5,Sciences et sciences de l'ingénieur,A l'heure ou en avance,8.0,15,1,C,R0,4.0,5.0,1.0,Pluridisciplinaire sciences fondamentales et applications,1.0,BAC technologique hors STMG,Assez bien,68,2012
50,2014,DSA,,1.0,,0.0,1.0,,"Droit, sciences politiques",1.0,Femme,1,"Droit, gestion, économie, AES",En retard de plus d'un an,1.0,1,2,Q,R2,0.0,0.0,0.0,Sciences politiques,,BAC L,Inconnue,37,2012
51,2014,SI,0.0,0.0,0.0,0.0,1.0,1.0,Sciences fondamentales et applications,3.0,Femme,5,Sciences et sciences de l'ingénieur,En retard de plus d'un an,0.0,15,2,P,R2,0.0,0.0,0.0,Pluridisciplinaire sciences fondamentales et applications,0.0,BAC technologique hors STMG,Passable deuxième groupe,68,2012
52,2014,DSA,9.0,4.0,10.0,0.0,4.0,15.0,"Droit, sciences politiques",8.0,Femme,2,"Droit, gestion, économie, AES",En retard d'un an,7.0,1,2,C,R1,3.0,0.0,0.0,Sciences politiques,1.0,BAC ES,Assez bien,37,2012
53,2014,SI,0.0,0.0,0.0,0.0,0.0,2.0,Sciences fondamentales et applications,1.0,Femme,6,Sciences et sciences de l'ingénieur,Non pris en compte,0.0,15,2,P,R4,0.0,0.0,0.0,Pluridisciplinaire sciences fondamentales et applications,0.0,BAC professionnel,Passable deuxième groupe,68,2012
54,2014,DSA,0.0,,1.0,,,1.0,"Droit, sciences politiques",,Homme,4,"Droit, gestion, économie, AES",En retard d'un an,,1,1,Q,R1,,,,Sciences politiques,1.0,BAC STMG,Inconnue,37,2012
55,2014,SI,2.0,3.0,3.0,0.0,4.0,13.0,Pluridisciplinaire sciences,14.0,Femme,3,Sciences et sciences de l'ingénieur,En retard d'un an,9.0,33,2,Q,R1,6.0,0.0,0.0,Pluridisciplinaire sciences,1.0,BAC S,Inconnue,70,2012
56,2014,DSA,0.0,0.0,0.0,0.0,0.0,1.0,"Droit, sciences politiques",1.0,Homme,6,"Droit, gestion, économie, AES",Non pris en compte,0.0,1,1,P,R4,0.0,0.0,0.0,Sciences politiques,0.0,BAC professionnel,Passable deuxième groupe,37,2012
57,2014,SI,1.0,3.0,3.0,2.0,6.0,4.0,Pluridisciplinaire sciences,19.0,Homme,5,Sciences et sciences de l'ingénieur,A l'heure ou en avance,10.0,33,1,B,R0,7.0,2.0,0.0,Pluridisciplinaire sciences,2.0,BAC technologique hors STMG,Bien,70,2012
58,2014,DSA,0.0,,0.0,,,13.0,"Droit, sciences politiques",,Homme,1,"Droit, gestion, économie, AES",En retard d'un an,,1,1,D,R1,,,,"Pluridisciplinaire droit, sciences politiques",0.0,BAC L,Passable premier groupe,61,2012
59,2014,STAPS,83.0,112.0,166.0,16.0,237.0,428.0,STAPS,618.0,Homme,3,STAPS,A l'heure ou en avance,346.0,10,1,P,R0,234.0,11.0,5.0,STAPS,83.0,BAC S,Passable deuxième groupe,10,2012
60,2014,DSA,13.0,0.0,20.0,0.0,0.0,36.0,"Droit, sciences politiques",4.0,Femme,2,"Droit, gestion, économie, AES",En retard d'un an,3.0,1,2,C,R1,3.0,0.0,0.0,"Pluridisciplinaire droit, sciences politiques",7.0,BAC ES,Assez bien,61,2012
61,2014,DSA,2.0,,2.0,,,3.0,"Droit, sciences politiques",,Homme,3,"Droit, gestion, économie, AES",A l'heure ou en avance,,1,1,Q,R0,,,,"Pluridisciplinaire droit, sciences politiques",0.0,BAC S,Inconnue,61,2012
62,2014,STAPS,1.0,0.0,2.0,0.0,3.0,30.0,STAPS,10.0,Femme,4,STAPS,En retard d'un an,0.0,10,2,P,R1,0.0,0.0,0.0,STAPS,1.0,BAC STMG,Passable deuxième groupe,10,2012
63,2014,DSA,0.0,0.0,0.0,0.0,0.0,12.0,"Droit, sciences politiques",1.0,Femme,4,"Droit, gestion, économie, AES",En retard de plus d'un an,0.0,1,2,P,R2,0.0,0.0,0.0,"Pluridisciplinaire droit, sciences politiques",0.0,BAC STMG,Passable deuxième groupe,61,2012
64,2014,STAPS,0.0,1.0,0.0,0.0,1.0,4.0,STAPS,8.0,Femme,5,STAPS,En retard de plus d'un an,6.0,10,2,C,R2,5.0,0.0,0.0,STAPS,0.0,BAC technologique hors STMG,Assez bien,10,2012
65,2014,DSA,0.0,,0.0,,,1.0,"Droit, sciences politiques",,Femme,5,"Droit, gestion, économie, AES",En retard d'un an,,1,2,P,R1,,,,"Pluridisciplinaire droit, sciences politiques",0.0,BAC technologique hors STMG,Passable deuxième groupe,61,2012
66,2014,LLSH,1.0,,1.0,,,1.0,Langues,,Homme,1,"Lettres, langues et sciences humaines",A l'heure ou en avance,,5,1,A,R0,,,,Cultures et langues régionales,0.0,BAC L,Très bien,25,2012
67,2014,LLSH,2.0,,2.0,,,4.0,Langues,,Femme,2,"Lettres, langues et sciences humaines",A l'heure ou en avance,,5,2,C,R0,,,,Cultures et langues régionales,0.0,BAC ES,Assez bien,25,2012
68,2014,LLSH,1.0,,1.0,,,4.0,Langues,,Femme,4,"Lettres, langues et sciences humaines",A l'heure ou en avance,,5,2,Q,R0,,,,Cultures et langues régionales,0.0,BAC STMG,Inconnue,25,2012
69,2014,LLSH,13.0,3.0,15.0,1.0,8.0,28.0,Sciences humaines et sociales,27.0,Homme,1,"Lettres, langues et sciences humaines",A l'heure ou en avance,18.0,6,1,B,R0,15.0,1.0,0.0,"Philosophie, épistémologie",2.0,BAC L,Bien,26,2012
70,2014,LLSH,0.0,0.0,1.0,0.0,0.0,3.0,Sciences humaines et sociales,1.0,Homme,3,"Lettres, langues et sciences humaines",En retard de plus d'un an,0.0,6,1,P,R2,0.0,0.0,0.0,"Philosophie, épistémologie",1.0,BAC S,Passable deuxième groupe,26,2012
71,2014,DSA,3.0,0.0,3.0,0.0,0.0,3.0,"Sciences économiques, gestion",5.0,Homme,3,"Droit, gestion, économie, AES",En retard d'un an,5.0,2,1,B,R1,5.0,0.0,0.0,Sciences économiques,0.0,BAC S,Bien,38,2012
72,2014,LLSH,6.0,0.0,7.0,0.0,0.0,8.0,Sciences humaines et sociales,1.0,Homme,3,"Lettres, langues et sciences humaines",En retard d'un an,1.0,6,1,P,R1,1.0,0.0,0.0,Géographie,1.0,BAC S,Passable deuxième groupe,28,2012
73,2014,DSA,10.0,2.0,11.0,0.0,3.0,13.0,"Sciences économiques, gestion",6.0,Femme,1,"Droit, gestion, économie, AES",A l'heure ou en avance,5.0,2,2,C,R0,3.0,0.0,0.0,Sciences de gestion,1.0,BAC L,Assez bien,39,2012
74,2014,LLSH,1.0,,1.0,,,1.0,"Pluridisciplinaire lettres, langues, sciences humaines",,Femme,2,"Lettres, langues et sciences humaines",En retard de plus d'un an,,32,2,P,R2,,,,"Pluridisciplinaire lettres, langues, sciences humaines",0.0,BAC ES,Passable deuxième groupe,67,2012
75,2014,DSA,8.0,11.0,18.0,1.0,13.0,36.0,"Sciences économiques, gestion",39.0,Femme,2,"Droit, gestion, économie, AES",En retard d'un an,27.0,2,2,D,R1,16.0,1.0,0.0,Sciences de gestion,10.0,BAC ES,Passable premier groupe,39,2012
76,2014,DSA,0.0,0.0,0.0,0.0,0.0,3.0,"Sciences économiques, gestion",2.0,Homme,4,"Droit, gestion, économie, AES",A l'heure ou en avance,0.0,2,1,Q,R0,0.0,0.0,0.0,Sciences de gestion,0.0,BAC STMG,Inconnue,39,2012
77,2014,SI,287.0,104.0,388.0,33.0,142.0,608.0,"Sciences de la vie, de la terre et de l'univers",840.0,Femme,3,Sciences et sciences de l'ingénieur,A l'heure ou en avance,644.0,9,2,C,R0,540.0,26.0,7.0,Sciences de la vie,101.0,BAC S,Assez bien,6,2012
78,2014,DSA,0.0,0.0,0.0,0.0,0.0,1.0,"Sciences économiques, gestion",1.0,Homme,5,"Droit, gestion, économie, AES",En retard de plus d'un an,1.0,2,1,P,R2,1.0,0.0,0.0,Sciences de gestion,0.0,BAC technologique hors STMG,Passable deuxième groupe,39,2012
79,2014,SI,1.0,,1.0,,,1.0,"Sciences de la vie, de la terre et de l'univers",,Femme,3,Sciences et sciences de l'ingénieur,En retard de plus d'un an,,9,2,A,R2,,,,Sciences de la vie,0.0,BAC S,Très bien,6,2012
80,2014,SI,0.0,1.0,0.0,0.0,3.0,6.0,"Sciences de la vie, de la terre et de l'univers",10.0,Homme,5,Sciences et sciences de l'ingénieur,A l'heure ou en avance,4.0,9,1,Q,R0,3.0,0.0,0.0,Sciences de la vie,0.0,BAC technologique hors STMG,Inconnue,6,2012
81,2014,SI,33.0,34.0,69.0,14.0,68.0,138.0,"Sciences de la vie, de la terre et de l'univers",171.0,Homme,3,Sciences et sciences de l'ingénieur,A l'heure ou en avance,101.0,9,1,D,R0,67.0,11.0,3.0,"Pluridisciplinaire sciences de la vie, de la santé, de la terre et de l'univers",36.0,BAC S,Passable premier groupe,69,2012
82,2014,SI,8.0,9.0,12.0,1.0,23.0,40.0,"Sciences de la vie, de la terre et de l'univers",57.0,Homme,3,Sciences et sciences de l'ingénieur,En retard d'un an,25.0,9,1,D,R1,16.0,1.0,0.0,"Pluridisciplinaire sciences de la vie, de la santé, de la terre et de l'univers",4.0,BAC S,Passable premier groupe,69,2012
83,2014,SI,0.0,,0.0,,,1.0,"Sciences de la vie, de la terre et de l'univers",,Homme,4,Sciences et sciences de l'ingénieur,En retard d'un an,,9,1,Q,R1,,,,"Pluridisciplinaire sciences de la vie, de la santé, de la terre et de l'univers",0.0,BAC STMG,Inconnue,69,2012
84,2014,DSA,7.0,5.0,11.0,0.0,11.0,33.0,"Sciences économiques, gestion",24.0,Femme,3,"Droit, gestion, économie, AES",En retard d'un an,8.0,2,2,P,R1,3.0,0.0,0.0,Pluridisciplinaire sciences économiques et gestion,4.0,BAC S,Passable deuxième groupe,62,2012
85,2014,LLSH,1.0,,1.0,,,1.0,Langues,,Homme,2,"Lettres, langues et sciences humaines",A l'heure ou en avance,,5,1,B,R0,,,,Cultures et langues régionales,0.0,BAC ES,Bien,25,2012
86,2014,DSA,0.0,1.0,0.0,0.0,2.0,3.0,"Sciences économiques, gestion",4.0,Femme,5,"Droit, gestion, économie, AES",A l'heure ou en avance,1.0,2,2,P,R0,0.0,0.0,0.0,Pluridisciplinaire sciences économiques et gestion,0.0,BAC technologique hors STMG,Passable deuxième groupe,62,2012
87,2014,LLSH,3.0,,3.0,,,5.0,Sciences humaines et sociales,,Femme,2,"Lettres, langues et sciences humaines",A l'heure ou en avance,,6,2,Q,R0,,,,"Philosophie, épistémologie",0.0,BAC ES,Inconnue,26,2012
88,2014,DSA,1.0,1.0,3.0,1.0,4.0,11.0,"Sciences économiques, gestion",6.0,Homme,5,"Droit, gestion, économie, AES",En retard de plus d'un an,1.0,2,1,D,R2,0.0,1.0,0.0,Pluridisciplinaire sciences économiques et gestion,2.0,BAC technologique hors STMG,Passable premier groupe,62,2012
89,2014,DSA,1.0,1.0,1.0,0.0,2.0,3.0,Administration économique et sociale,6.0,Femme,2,"Droit, gestion, économie, AES",En retard de plus d'un an,4.0,3,2,C,R2,3.0,0.0,0.0,Administration économique et sociale,0.0,BAC ES,Assez bien,40,2012
90,2014,SI,0.0,,0.0,,,1.0,"Sciences de la vie, de la terre et de l'univers",,Homme,6,Sciences et sciences de l'ingénieur,Non pris en compte,,9,1,A,R4,,,,"Pluridisciplinaire sciences de la vie, de la santé, de la terre et de l'univers",0.0,BAC professionnel,Très bien,69,2012
91,2014,SI,0.0,0.0,1.0,0.0,0.0,1.0,Sciences fondamentales et applications,1.0,Homme,2,Sciences et sciences de l'ingénieur,A l'heure ou en avance,0.0,15,1,B,R0,0.0,0.0,0.0,Mathématiques,1.0,BAC ES,Bien,1,2012
92,2014,SI,4.0,2.0,5.0,0.0,4.0,21.0,Sciences fondamentales et applications,17.0,Homme,3,Sciences et sciences de l'ingénieur,A l'heure ou en avance,12.0,15,1,Q,R0,10.0,0.0,0.0,Mathématiques,1.0,BAC S,Inconnue,1,2012
93,2014,SI,4.0,0.0,6.0,1.0,2.0,10.0,Sciences fondamentales et applications,5.0,Femme,3,Sciences et sciences de l'ingénieur,En retard d'un an,2.0,15,2,C,R1,2.0,1.0,0.0,Mathématiques,2.0,BAC S,Assez bien,1,2012
94,2014,SI,0.0,0.0,0.0,0.0,1.0,3.0,Sciences fondamentales et applications,2.0,Homme,4,Sciences et sciences de l'ingénieur,A l'heure ou en avance,0.0,15,1,C,R0,0.0,0.0,0.0,Mathématiques,0.0,BAC STMG,Assez bien,1,2012
95,2014,SI,0.0,,0.0,,,2.0,Sciences fondamentales et applications,,Femme,2,Sciences et sciences de l'ingénieur,A l'heure ou en avance,,15,2,B,R0,,,,Physique,0.0,BAC ES,Bien,2,2012
96,2014,SI,4.0,0.0,4.0,1.0,0.0,14.0,Sciences fondamentales et applications,29.0,Homme,3,Sciences et sciences de l'ingénieur,A l'heure ou en avance,26.0,15,1,A,R0,26.0,0.0,1.0,Physique,0.0,BAC S,Très bien,2,2012
